Hex	Name	UWP	Bases	Remarks	Zone	PBG	W	Allegiance	Stars	{Ix}	(Ex)	[Cx]	N
0221	Mater Nova	B575743-9	S	Ag Pi	-	201	10	Im	G4 V M2 VI D	{+2}	(76C-4)	[3976]	BCD
0921	Northammon	B764647-A	NS	Ag Ni Ri	-	800	11	Im	G4 V	{+4}	(559+1)	[AA6B]	BCf
1221	Peres	X536000-6		Di Fo	R	001	14	Im	K1 V	{-3}	(700-2)	[0000]	B
1821	Rolvaag	E580000-7		De Di Fo Lk	R	003	10	Im	G5 III	{-3}	(900-4)	[0000]	B
2521	Geniishir	E310000-D		Di Fo Ht	R	003	13	Im	G6 V K1 VI G3 VI	{-1}	(700+1)	[0000]	B
2721	Newpenton	X595000-3		Co Di Fo Lk Tz Lt	R	022	13	Im	M5 V	{-3}	(600+4)	[0000]	B
0222	Breslow	D540641-4	S	De He Ni Po Lt	-	400	9	Im	G8 V K6 VI G9 VI	{-3}	(C50+2)	[7371]	B
0422	Rouenet	C562211-9		Co Lo	-	710	10	Im	F4 III	{-1}	(A10-2)	[215C]	B
0622	Mushinag	D575540-7	S	Ag Ni	-	430	11	Im	F1 IV	{-2}	(640+1)	[2363]	BC
0922	Teyobald	B8B3622-B		Fl Ni	-	920	8	Im	K7 V BD	{+1}	(655+1)	[5717]	B
1122	Vincennes	A8999A8-E		Cp Hi Ho Ht In	-	211	14	Im	G5 V M3 VI K0 VI	{+4}	(98E-2)	[BD3E]	BEF
1522	Bumushe	C68A632-6	S	Ni Ri Wa	-	332	14	Im	A0 V	{-1}	(454+2)	[5563]	BC
1722	Redemption	E540553-7		Co De He Ni Po Tz	-	921	9	Im	M0 V	{-3}	(743+3)	[3273]	B
2322	Sage	D563000-7		Co Di Fo	R	030	10	Im	K7 V	{-3}	(800+1)	[0000]	B
2522	Maelstrom	B79A832-C	NS	Ph Pi Tz Wa Ht	-	302	10	Im	K8 VI	{+3}	(67D+4)	[5B4A]	BDe
0123	Rena	D596200-8	S	Lo	-	102	12	Im	F3 V	{-3}	(810+1)	[2119]	B
0223	Daumier	B88A443-D	N	Ni Tz Wa Ht	-	232	13	Im	M1 V	{+1}	(C32+1)	[156B]	B
0623	Araa	C566200-A	S	Lo	-	132	11	Im	G0 V	{0}	(E10+5)	[1215]	B
1023	Irumunu	B7B3676-B	W	Fl Ni	-	423	11	Im	K7 V M0 VI M5 V M3 V	{+2}	(C54+1)	[983D]	B
1123	Erisis	D679000-7		Co Di Fo	R	011	10	Im	G8 V	{-3}	(600+5)	[0000]	B
1223	Montane	X683000-7		Di Fo	R	013	14	Im	F8 IV D	{-3}	(900+4)	[0000]	B
1323	Al-Uqayr	E567000-5		Di Fo Lt	R	020	7	Im	K4 V M5 VI	{-3}	(700-1)	[0000]	B
1623	HRD	A401441-F	N	Ic Ni Va Ht	-	403	6	Im	G5 IV	{+1}	(D35+1)	[456C]	B
1823	Tetzel	E643000-B		Di Fo Po	R	031	14	Im	F8 II K3 V	{-1}	(D00-1)	[0000]	B
1923	Liran	B000896-A		As Lk Na Ph Pi Va	-	700	13	Im	K8 V D D	{+2}	(577+2)	[BA6C]	BDe
2023	Bruyere	C544777-5	S	Ag Ho Pi Sa Lt	-	900	12	Im	A2 IV	{0}	(46A+5)	[3757]	BCD
2223	Byblos	C673846-7	S	Lk Ph Pi	-	900	7	Im	F2 V	{-1}	(A79-2)	[5738]	BDe
2323	Azed Bek	D766000-A		Di Fo Ga	R	000	7	Im	F6 III M1 V	{-1}	(600+1)	[0000]	B
2523	Exotrope	X300000-7		Co Di Fo Va	R	000	8	Im	G8 V	{-3}	(B00+4)	[0000]	B
0124	Gulistan	CAB5436-7	S	Co Fl Lk Ni	-	801	10	Im	F1 V	{-2}	(831+1)	[4214]	B
0224	Adapam	E796434-7		Ni Pa	-	602	14	Im	A4 V	{-3}	(433-2)	[5117]	Bc
0524	Isurkun	A541379-A	N	He Lk Lo Po	-	802	12	Im	G6 III	{+1}	(B21+1)	[5456]	B
0624	Helmuth	C846323-7	S	Lo Tr Tz	-	910	5	Im	K0 V	{-2}	(920-2)	[1133]	B
0824	Tlaza	C303122-9		Co Ic Lo Tz Va	-	130	11	Im	M6 V BD	{-1}	(900+4)	[317D]	B
1224	Achemadon	E547000-A		Di Fo	R	002	11	Im	G1 V	{-1}	(C00-3)	[0000]	B
1324	Jonkeer	C5908B8-8	S	De He Ph Pi	-	133	12	Im	G7 V	{-1}	(C78-1)	[4768]	BDe
1424	Sarden	E552575-7		Ni Po	-	212	12	Im	G9 IV G0 V	{-3}	(C43-4)	[9288]	B
1524	Verd	E550000-6		De Di Fo Fr Po	R	000	7	Im	A4 V G3 VI	{-3}	(C00-3)	[0000]	B
1824	Farraco	E200333-9		Ho Lo Tz Va	-	630	15	Im	K9 V M1 VI	{-2}	(D20+2)	[314C]	B
2024	Minocoy	X422000-D		Di Fo He Po Ht	R	012	9	Im	G9 V	{-1}	(A00+1)	[0000]	B
2224	Revoc	D9AA000-A		Di Fl Fo	R	001	12	Im	G0 V	{-1}	(B00-3)	[0000]	B
2424	Ayers	X430000-A		De Di Fo Po	R	000	8	Im	G3 IV	{-1}	(900+3)	[0000]	B
0525	Sejmal	C310655-B		Co Na Ni	-	432	9	Im	G8 V M0 VI G1 VI M0 VI	{0}	(C54+1)	[663E]	B
0925	Ibix Donora	C432344-9		Co Lk Lo Po	-	300	7	Im	F6 V	{-1}	(C20-3)	[1256]	B
1025	Frisgar	E4247A7-8		Pi	-	330	13	Im	F6 V G8 VI F8 VI	{-2}	(766+1)	[6588]	BD
1925	Deneb	B537A98-A	N	Co Hi	-	630	12	Im	F1 V	{+3}	(79D-4)	[CD69]	BE
2225	Usani	A552676-C	NS	Co Ni Po Tz Ht	-	633	14	Im	M0 V	{+2}	(G55+1)	[486D]	B
2425	Hysyl	E540535-6		De He Ni Po	-	501	11	Im	G2 V	{-3}	(743+1)	[4245]	B
0226	Wroclaw	C566772-7		Ag Ri	-	610	11	Im	F1 II	{+1}	(865-2)	[886A]	BC
0626	Kernal	B5667B8-7		Ag Ho Ri Tz	-	111	13	Im	K5 V	{+2}	(567+3)	[5937]	BC
0826	Imone	D9C4000-F		Di Fl Fo Ht	R	011	13	Im	G8 V	{-1}	(600-1)	[0000]	B
1026	Burtrum	C53878B-8	S		-	720	8	Im	G4 V	{-1}	(86A+1)	[7688]	B
1226	Bishop	B201514-D	S	Ic Ni Va Ht	-	901	5	Im	F9 V	{+1}	(C43-4)	[3649]	B
1426	Kew	E512000-B		Di Fo Ho Ic Sa	R	010	10	Im	G8 II	{-1}	(B00-2)	[0000]	B
1626	Risir	E430000-9		De Di Fo Po	R	022	11	Im	K7 V BD	{-2}	(B00-2)	[0000]	B
1726	Woaros	X747000-5		Di Fo Lt	R	000	9	Im	F1 III	{-3}	(600+1)	[0000]	B
1826	Eshamlii	E434000-B		Di Fo Lk Tz	R	003	14	Im	M3 VI	{-1}	(A00-1)	[0000]	B
1926	Amshal	D687000-9		Di Fo Ga	R	011	8	Im	F6 III G3 V	{-2}	(E00-4)	[0000]	B
2126	Arcanum	D43489E-6		Ho Ph	A	701	12	Im	A8 V	{-2}	(577+1)	[C633]	Be
0327	Barbary	C57179B-5	S	Co He Lk Pi Tz Lt	A	201	9	Im	M8 V BD BD	{-1}	(763-4)	[C621]	BD
0727	Shen-Yang	C665575-5	S	Ag Ga Ni Pr Tr Lt	-	310	10	Im	G1 V D G3 VI	{-1}	(542+5)	[6415]	BcC
0827	Skopyeh	B500455-D		Ni Tz Va Ht	-	431	13	Im	M2 V	{+1}	(734+1)	[657A]	B
1227	Taburi Nen	D546000-B		Di Fo	R	002	13	Im	K1 V	{-1}	(800+4)	[0000]	B
1327	Medard	D421000-C		Di Fo He Po Ht	R	030	12	Im	G4 VI K2 VI	{-1}	(900-1)	[0000]	B
1827	Prefecture	E430720-8		Co De Na Po	-	314	13	Im	G6 V M8 VI	{-2}	(B64+1)	[4577]	B
1927	Thussar Ozoam	X545000-0		Ba Ho Tz Lt	A	001	10	Im	K4 V M6 VI M4 VI	{-3}	(B00+5)	[0000]	B
2027	Avernus	E886534-4		Ag Ga Ni Pr Tr Lt	-	603	15	Im	F3 IV F9 V	{-2}	(543+4)	[4331]	BcC
2127	Nusukha	E310000-7		Co Di Fo	R	011	12	Im	K9 V	{-3}	(A00+2)	[0000]	B
0228	Rimkuku	D9A8887-7	S	Fl Ph Tz	-	411	12	Im	K1 VI BD K5 VI	{-2}	(476+2)	[A685]	Be
0328	Dunstan	C649220-8	S	Lo	-	502	11	Im	G2 V	{-2}	(810+4)	[4117]	B
0828	Burnham	D664000-8		Di Fo Tr	R	012	13	Im	F5 V	{-3}	(A00-2)	[0000]	B
1128	Dekha	C100A75-F	S	Co Hi In Na Va Ht	-	313	15	Im	F1 V	{+3}	(A9B+1)	[ED5E]	BE
1428	Condamine	C665572-7		Ag Ga Ni Pr Tu	-	501	11	Im	K6 IV	{-1}	(A45+1)	[6444]	BcC
1628	Alaungpaya	C540744-8	S	Co De He Lk Pi Po	-	301	7	Im	K8 V K8 VI	{-1}	(667-3)	[9636]	BD
1728	Monogan	E100532-8		Ni Va	-	501	6	Im	A0 Ib A2 V	{-3}	(443+1)	[3248]	B
1928	Exile	X799000-0		Ba Lk Tz Lt	A	000	9	Im	K4 VI	{-3}	(B00+1)	[0000]	B
2028	Nyassl	B300432-D	N	Ni Va Ht	-	310	9	Im	F6 II	{+1}	(634+1)	[357E]	B
0229	Aziziyah	C86A676-8	S	Co Ni Ri Tz Wa	-	701	10	Im	M3 V	{-1}	(850+3)	[258A]	BC
0529	Moltke	E646000-0		Ba Lt	A	031	11	Im	K0 V	{-3}	(C00-3)	[0000]	B
0629	Askigaak	E549000-0		Ba Tz Lt	A	021	10	Im	M6 V BD	{-3}	(B00-2)	[0000]	B
0729	Norg	E000000-D		As Di Fo Va Ht	R	000	4	Im	K6 V BD M8 V	{-1}	(800+5)	[0000]	B
0929	Sipedon	E553676-6		Ni Po	-	700	5	Im	K4 III	{-3}	(950-2)	[5379]	B
1229	Djar	C30079B-7	S	Na Pi Tz Va	A	530	11	Im	M4 V	{-1}	(964-1)	[8638]	BD
1429	Ishiri	E565855-6		Pa Ph Ri	-	201	11	Im	A3 IV	{-1}	(475-1)	[A747]	BcCe
1829	Bisistra	E557000-B		Di Fo	R	001	7	Im	K4 V	{-1}	(600+2)	[0000]	B
0130	Chaosheo	E87A77C-5		Pi Wa Lt	-	330	10	Im	K7 II M7 V	{-2}	(564-1)	[4547]	BD
0330	Canisus	C431787-8	S	Na Po	-	521	12	Im	G4 V	{-1}	(862+1)	[6647]	B
0730	Sultana	E649000-9		Di Fo	R	010	10	Im	F2 V	{-2}	(700-3)	[0000]	B
0830	Bukit Seng	X542000-8		Di Fo He Po	R	020	7	Im	F7 V M6 VI K2 VI G0 VI	{-3}	(B00-4)	[0000]	B
0930	Arnyl	B683656-9	NS	Ni Ri Tu Tz	-	332	14	Im	M8 V BD	{+2}	(A57-1)	[784C]	BC
1030	Prege	D79A000-9		Di Fo Wa	R	002	11	Im	K3 V	{-2}	(400+4)	[0000]	B
1430	Eretaro	D9C4000-B		Di Fl Fo	R	023	14	Im	G8 V	{-1}	(D00+1)	[0000]	B
1630	Brontitor	E9C4000-9		Di Fl Fo Ho	R	021	12	Im	G2 V K2 VI	{-2}	(600-3)	[0000]	B
1730	Gatooma	E100575-7		Ho Ni Va	-	103	6	Im	K3 III	{-3}	(941-2)	[3234]	B
1830	Ronsard	DA8967B-7	S	Co Ni Ri	-	621	13	Im	G5 V	{-2}	(953-1)	[5458]	BC
1930	Turkoman	B9C6745-9		Fl Tz	A	400	6	Im	M3 V	{+1}	(569+2)	[6887]	B
0431	Zyedl	E55147C-5		Ho Ni Po Lt	-	831	8	Im	F1 V G7 VI	{-3}	(731+3)	[4122]	B
0531	Briaxis	C420477-B		Co De He Lk Ni Po Tz	-	200	9	Im	M4 V M9 VI	{0}	(733-3)	[443G]	B
0731	Qevar	A432646-E	NS	Lk Na Ni Po Ht	-	600	12	Im	K2 V	{+2}	(758+3)	[585F]	B
1231	Point Ay	C560544-9	S	De Ni Pr Tz	-	722	12	Im	M0 V BD	{-1}	(B43-4)	[341A]	Bc
1831	Takahira	E9C5000-9		Di Fl Fo	R	000	10	Im	G6 VI	{-2}	(900+4)	[0000]	B
2131	Javan	X77A000-A		Co Di Fo Sa Wa	R	000	10	Im	F3 V K0 VI	{-1}	(600-1)	[0000]	B
3031	Asharam	E7627BD-2		Co Ri Lt	A	501	11	Im	K9 IV K9 V	{-1}	(A64+2)	[7633]	BC
0332	Aosta	E669000-C		Di Fo Ht	R	010	10	Im	G4 V	{-1}	(600-1)	[0000]	B
1032	Quinthept	D521000-A		Di Fo He Lk Po Tz	R	000	9	Im	M5 V BD	{-1}	(400-2)	[0000]	B
1332	Giffert	E7A8000-D		Di Fl Fo Ht	R	003	11	Im	F5 V	{-1}	(500+3)	[0000]	B
1432	Pashus	A432474-F	S	Ho Ni Po Ht	-	402	10	Im	F1 V F8 VI	{+1}	(535-2)	[752C]	B
1532	Rajan	D87A000-B		Co Di Fo Wa	R	012	8	Im	K4 III	{-1}	(E00-3)	[0000]	B
1732	Rif	X687000-6		Di Fo Ga Sa	R	030	12	Im	K5 V BD D	{-3}	(900-5)	[0000]	B
1832	Kamlar	B587457-C	N	Co Ni Pa Tz Ht	-	501	8	Im	M3 VI	{+1}	(736-1)	[357D]	Bc
0233	Inkekush	A540545-D	N	Co De He Ni Po Ht	-	301	4	Im	K2 V	{+1}	(745-2)	[A689]	B
0633	Preslin	B430635-C	N	De Na Ni Po Ht	-	431	14	Im	K2 V BD BD	{+1}	(D53-5)	[875B]	B
0833	Mephit	E9B8000-8		Co Di Fl Fo Tz	R	002	11	Im	M3 V	{-3}	(900-2)	[0000]	B
0933	Echura	C683745-8	S	Ri Tr	-	300	10	Im	G6 V D D	{0}	(86A-4)	[6744]	BC
1133	Keirei	X310000-B		Di Fo Ho	R	021	7	Im	K5 IV	{-1}	(B00-1)	[0000]	B
1333	Shiiku	D651758-7	S	Po	-	601	5	Im	G1 V M7 VI	{-2}	(B67-2)	[4547]	B
1433	Atab	C540789-8	S	De He Pi Po Sa	-	731	12	Im	G2 V M7 VI	{-1}	(C68+1)	[5663]	BD
1633	Pikha	B738A75-C		Hi Ht	-	802	13	Im	A6 IV G5 VI D D	{+3}	(79E-2)	[AD7C]	BE
1733	Imazura	C555546-8	S	Ag Ho Ni Sa	-	601	10	Im	A3 Ib G6 VI F5 V	{-1}	(644+1)	[8498]	BC
0334	Furens	E8A9000-A		Di Fl Fo Sa	R	001	12	Im	G0 V	{-1}	(900-4)	[0000]	B
0534	Maricutin	X764000-A		Di Fo	R	000	6	Im	A9 V F4 V	{-1}	(700+3)	[0000]	B
0734	Raguseppe	B410531-A		Ho Ni	-	503	11	Im	G4 V	{+1}	(642+4)	[5669]	B
1334	Giranima	D797873-6	S	Pa Ph Pi Tu	-	701	8	Im	K3 V K6 VI	{-2}	(678+1)	[8658]	BcDe
2234	Catacomb	X8A7000-B		Di Fl Fo Lk	R	030	10	Im	G8 III M5 V K6 VI M4 VI	{-1}	(A00+2)	[0000]	B
2734	Lorin Antune	X525000-0		Ba Co Sa Lt	A	031	12	Im	A2 V	{-3}	(500+4)	[0000]	B
0235	Saguenay	E438000-E		Di Fo Tz Ht	R	000	8	Im	M7 V M0 VI BD	{-1}	(500+2)	[0000]	B
0735	Kiangya	E7C2000-B		Di Fl Fo He	R	001	4	Im	G8 V G5 VI	{-1}	(600-3)	[0000]	B
0935	Inquar	B8B5772-A	S	Co Fl Tz	-	620	13	Im	M6 V	{+2}	(969-3)	[8927]	B
1035	Storm	DAD6000-A		Di Fo	R	012	11	Im	K8 IV	{-1}	(B00-2)	[0000]	B
1135	Lilad	C547ACA-C		Co Hi In Tz Ht	A	502	6	Im	M2 V	{+3}	(69B+4)	[9D1C]	BE
1235	Veldt	C567789-7	S	Ag Co Ri Sa	-	302	11	Im	K6 V M0 VI	{+1}	(267+2)	[7848]	BC
1435	Quirinal	C651684-8		Co Ni Po Tz	-	130	12	Im	M2 V BD M3 VI	{-2}	(C54+3)	[A495]	B
1635	Ibsen	D434520-7	S	Co Ni	-	310	7	Im	F2 III G3 V	{-3}	(843+3)	[8274]	B
0336	Upuraku	B584579-8	W	Ag Co Lk Ni Pr	-	700	8	Im	F2 V G9 VI D	{+1}	(743+5)	[565C]	BcC
0436	Endup	D69388C-6		Ph Pi	A	600	10	Im	G9 V K1 VI K0 VI M2 VI K5 VI	{-2}	(673-2)	[C638]	BDe
0936	Tullyhome	D669776-5	S	Ri Sa Lt	-	431	14	Im	K5 II	{-1}	(768-3)	[6628]	BC
1336	Dawn	XA9A000-C		Co Di Fo Oc Tz Ht	R	001	11	Im	M3 V BD	{-1}	(500-2)	[0000]	B
1436	Isidor	D571000-8		Di Fo He	R	002	11	Im	A2 III F5 V	{-3}	(D00-3)	[0000]	B
1636	Balzac	A552887-C	N	Lk Ph Po Ht	-	422	9	Im	F0 V	{+2}	(D7D+3)	[8A3E]	Be
0237	Taman	E874000-5		Di Fo Lt	R	011	12	Im	F8 V K8 VI G9 VI	{-3}	(B00-1)	[0000]	B
0737	Taomina	D421000-7		Di Fo He Po Sa	R	000	10	Im	G3 V M2 VI	{-3}	(400+1)	[0000]	B
1137	Third Mu	DA7A000-C		Di Fo Oc Ht	R	021	16	Im	K0 V	{-1}	(A00+1)	[0000]	B
1337	Unxava	X677000-7		Di Fo	R	020	13	Im	G2 V D	{-3}	(900+3)	[0000]	B
0138	Iruku	B310443-9		Ni	-	602	10	Im	K9 IV D	{0}	(434-3)	[4457]	B
0238	Nouakchat	E532000-6		Di Fo Ho Lk Po	R	030	14	Im	A9 V	{-3}	(B00+1)	[0000]	B
0638	Brufort	D669000-6		Co Di Fo	R	003	14	Im	K5 V M7 VI	{-3}	(500+2)	[0000]	B
1038	Timmer	C562635-7	S	Ni Ri	-	501	12	Im	G9 V K1 VI	{-1}	(851+1)	[2578]	BC
1138	Ushashin	EA9A000-7		Di Fo Oc	R	023	12	Im	K5 IV	{-3}	(400+1)	[0000]	B
1238	Muntgumree	B553435-9	NS	Ni Po	-	901	7	Im	F2 V	{+1}	(A34+1)	[9518]	B
1338	Sorel	X539000-C		Di Fo Ht	R	030	11	Im	A0 V	{-1}	(B00+1)	[0000]	B
0339	Tuwayk	B6728C9-A		He Ph Pi	A	601	11	Im	G2 V M2 V	{+2}	(87C+5)	[AA69]	BDe
0439	Beaxon	D88AA79-C		Hi Wa Ht	-	903	14	Im	G6 V	{+1}	(896+1)	[AB1D]	BE
0939	Sestos	D5A6859-9	S	Co Fl Ph	-	632	13	Im	G1 VI	{-1}	(878-1)	[674A]	Be
1339	Zeng	D426000-C		Co Di Fo Sa Ht	R	001	10	Im	K0 V D	{-1}	(700+3)	[0000]	B
1439	Breit-Tuve	X425000-B		Di Fo Ho Tz	R	001	6	Im	K0 V K6 VI	{-1}	(900-2)	[0000]	B
1639	Uushadiiru	D551000-A		Di Fo Po Sa	R	001	12	Im	K3 V	{-1}	(500+1)	[0000]	B
0440	Noghon	D797000-8		Di Fo Tu	R	001	4	Im	A9 II F3 V F0 V	{-3}	(500-1)	[0000]	B
0740	Mtensc	D551000-8		Di Fo Po	R	020	11	Im	G9 VI	{-3}	(B00-1)	[0000]	B
1140	Oriryu	B53658C-9	S	Ni Sa	A	800	10	Im	K8 III	{0}	(446+1)	[653C]	B
1340	Agdarmi	B56679D-A		Ag Cp Ho Ri Sa	A	321	12	Im	K2 II	{+4}	(96B+3)	[6B7B]	BCF
1440	Fessenden	C43577B-6			-	601	12	Im	G3 II M9 V	{-1}	(567-4)	[7689]	B
1640	Jecife	A439552-H	N	Ni Ht	-	102	15	Im	F8 IV D	{+2}	(645+1)	[273E]	B
